lat,lon,pixel_count,mean_tb,min_tb,median_tb,std_tb,max_radius,min_radius,mean_radius,max_cloud_top_height,mean_cloud_top_height,target
451,1510,4,227.63414,226.74287,227.34132,0.98277605,1.4142135623730951,0.0,0.8535533905932737,2.3257125854492187,2.236585998535156,0
454,1196,4,228.90836,227.54373,229.10565,1.0093247,1.4142135623730951,0.0,0.8535533905932737,2.2456268310546874,2.1091644287109377,0
454,1527,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
458,1320,1,229.49602,229.49602,229.49602,0.0,0.0,0.0,0.0,2.050398254394531,2.050398254394531,0
465,1202,25,228.6999,226.74287,228.72339,0.93417877,5.830951894845301,0.0,3.5991497320715986,2.3257125854492187,2.130009460449219,1
463,1531,2,228.33298,228.33298,228.33298,0.0,1.0,0.0,0.5,2.1667022705078125,2.1667022705078125,0
465,1208,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
466,1520,10,228.52097,226.74287,228.52818,0.9124315,4.0,0.0,1.8812559200041268,2.3257125854492187,2.1479034423828125,1
468,1506,1,229.11105,229.11105,229.11105,0.0,0.0,0.0,0.0,2.0888946533203128,2.0888946533203128,0
500,1617,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
506,1615,76,224.73985,216.53424,224.68715,3.5518517,10.0,0.0,4.978991397630837,3.346575927734375,2.5260147094726566,1
520,1607,11,228.92809,226.74287,229.11105,0.8875724,4.123105625617661,0.0,2.085060438696266,2.3257125854492187,2.107191467285156,1
528,1599,24,227.50847,222.11037,227.93835,1.9687757,6.082762530298219,0.0,3.0634181136339937,2.7889633178710938,2.2491531372070312,1
597,1110,27305,196.31813,180.08902,193.34862,15.675972,208.72230355187247,0.0,103.99139752065905,6.991098022460938,5.368186950683594,1
557,1180,2,229.87833,229.87833,229.87833,0.0,1.0,0.0,0.5,2.0121673583984374,2.0121673583984374,0
566,1197,2,228.33157,227.93977,228.33157,0.39180756,1.0,0.0,0.5,2.2060226440429687,2.1668426513671877,0
574,1068,319,213.93858,194.98502,213.49258,8.553213,20.248456731316587,0.0,9.967531293879548,5.501498413085938,3.6061416625976563,1
574,1243,3,228.97823,228.33298,228.72339,0.656117,1.0,0.0,0.6666666666666666,2.1667022705078125,2.102177429199219,0
577,1246,2,229.49602,229.49602,229.49602,0.0,1.0,0.0,0.5,2.050398254394531,2.050398254394531,0
582,1109,1,229.49602,229.49602,229.49602,0.0,0.0,0.0,0.0,2.050398254394531,2.050398254394531,0
583,1108,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
606,1315,43,227.61774,222.11037,227.93977,1.7396255,7.211102550927978,0.0,3.895943015898791,2.7889633178710938,2.238226318359375,1
609,1307,57,225.1045,216.53424,225.10466,3.0668945,8.06225774829855,0.0,4.239492425236626,3.346575927734375,2.489549255371094,1
606,1321,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
620,1531,846,216.3289,197.31895,216.0403,7.7489753,36.345563690772494,0.0,16.623682508055182,5.268104553222656,3.3671096801757816,1
613,1566,2,228.3274,227.54373,228.3274,0.7836609,1.0,0.0,0.5,2.2456268310546874,2.1672607421875,0
634,1305,10,226.18015,222.54872,226.13399,1.9637765,3.0,0.0,1.6478708664619077,2.745127868652344,2.3819854736328128,1
640,1552,7,228.32497,226.74287,228.33298,0.93833005,1.4142135623730951,0.0,0.9754895892494557,2.3257125854492187,2.1675033569335938,1
642,1555,4,222.27095,211.35217,224.8959,6.4269586,1.0,0.0,0.75,3.8647827148437504,2.772904968261719,0
658,921,93,223.6351,212.96646,224.68715,4.0884047,11.180339887498949,0.0,5.468815646420639,3.7033538818359375,2.6364898681640625,1
649,912,1,226.33797,226.33797,226.33797,0.0,0.0,0.0,0.0,2.3662033081054688,2.3662033081054688,0
653,907,5,227.28455,225.51892,227.14478,1.4806455,1.4142135623730951,0.0,0.882842712474619,2.44810791015625,2.27154541015625,1
660,1561,241,216.31023,200.23521,216.53424,7.4682565,20.396078054371138,0.0,9.276170671405334,4.976478576660156,3.3689773559570315,1
662,1323,36,222.27707,209.68028,223.41455,4.5815997,10.44030650891055,0.0,4.392481122992195,4.031971740722656,2.7722930908203125,1
676,1580,105,225.8234,213.49258,226.74287,3.7709982,16.1245154965971,0.0,8.647413104098167,3.6507415771484375,2.4176605224609378,1
666,1404,150,221.39671,211.35217,221.66829,4.3492904,12.041594578792296,0.0,5.551964048468447,3.8647827148437504,2.8603286743164062,1
664,1581,2,226.91403,225.10466,226.91403,1.8093643,1.0,0.0,0.5,2.4895339965820313,2.3085968017578127,0
670,951,15,224.79546,217.98715,224.26634,3.499195,4.123105625617661,0.0,1.9503995162161185,3.201284790039063,2.5204544067382812,1
672,918,8,222.54071,217.50755,222.54872,3.4855056,2.23606797749979,0.0,1.2580618877807475,3.2492446899414062,2.745928955078125,1
674,935,2,225.49347,223.84216,225.49347,1.6513062,1.0,0.0,0.5,2.61578369140625,2.450653076171875,0
675,1014,4,227.5959,223.84216,228.33157,2.274285,2.23606797749979,0.0,1.1625703849682212,2.61578369140625,2.2404098510742188,0
677,1003,1,226.74287,226.74287,226.74287,0.0,0.0,0.0,0.0,2.3257125854492187,2.3257125854492187,0
679,1012,6,227.65846,225.51892,227.73888,1.3854933,2.23606797749979,0.0,1.2750469233121475,2.44810791015625,2.2341537475585938,1
679,1001,2,224.05426,223.84216,224.05426,0.21208954,1.0,0.0,0.5,2.61578369140625,2.594573974609375,0
686,1597,86,223.4898,217.50755,223.19899,3.3862553,8.06225774829855,0.0,3.9168174951081753,3.2492446899414062,2.651019287109375,1
682,936,2,223.82669,222.54872,223.82669,1.2779694,1.0,0.0,0.5,2.745127868652344,2.617330932617188,0
